Date : 2021-03-26 16:31:48
Directory : /home/cxf/Desktop/WebServer
Total : 149 files,  8601 codes, 1861 comments, 2050 blanks, all 12512 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |         79 |      4,488 |      1,284 |        776 |      6,548 |
| Makefile     |          5 |      1,516 |        505 |        799 |      2,820 |
| CMake        |         59 |      1,137 |          0 |        247 |      1,384 |
| C            |          1 |        547 |         52 |        123 |        722 |
| Log          |          1 |        393 |          0 |         31 |        424 |
| CMake Cache  |          1 |        308 |          0 |         68 |        376 |
| JSON         |          1 |        197 |          0 |          0 |        197 |
| Shell Script |          1 |         14 |         12 |          6 |         32 |
| Markdown     |          1 |          1 |          8 |          0 |          9 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        149 |      8,601 |      1,861 |      2,050 |     12,512 |
| base                                                                                                          |         43 |      2,072 |        639 |        405 |      3,116 |
| base/test                                                                                                     |         15 |        753 |        165 |        142 |      1,060 |
| build                                                                                                         |         69 |      4,634 |        611 |      1,389 |      6,634 |
| build/CMakeFiles                                                                                              |          8 |      1,699 |        106 |        330 |      2,135 |
| build/CMakeFiles/3.19.0                                                                                       |          5 |      1,223 |        106 |        288 |      1,617 |
| build/CMakeFiles/3.19.0/CompilerIdC                                                                           |          1 |        547 |         52 |        123 |        722 |
| build/CMakeFiles/3.19.0/CompilerIdCXX                                                                         |          1 |        536 |         54 |        121 |        711 |
| build/base                                                                                                    |         33 |      1,184 |        201 |        468 |      1,853 |
| build/base/CMakeFiles                                                                                         |          4 |         60 |          0 |         12 |         72 |
| build/base/CMakeFiles/base.dir                                                                                |          3 |         48 |          0 |          7 |         55 |
| build/base/test                                                                                               |         26 |        762 |        117 |        286 |      1,165 |
| build/base/test/CMakeFiles                                                                                    |         23 |        320 |          0 |         71 |        391 |
| build/base/test/CMakeFiles/AppendFile.dir                                                                     |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/BlockQueue.dir                                                                     |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/Condition.dir                                                                      |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/FixedBuffer.dir                                                                    |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/LogFile.dir                                                                        |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/Logging.dir                                                                        |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/Mutex.dir                                                                          |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/Singleton.dir                                                                      |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/Thread.dir                                                                         |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/Threadpool.dir                                                                     |          2 |         28 |          0 |          6 |         34 |
| build/base/test/CMakeFiles/Timestamp.dir                                                                      |          2 |         28 |          0 |          6 |         34 |
| build/net                                                                                                     |         23 |        952 |        177 |        391 |      1,520 |
| build/net/CMakeFiles                                                                                          |          4 |         65 |          0 |         12 |         77 |
| build/net/CMakeFiles/net.dir                                                                                  |          3 |         53 |          0 |          7 |         60 |
| build/net/test                                                                                                |         16 |        493 |         87 |        191 |        771 |
| build/net/test/CMakeFiles                                                                                     |         13 |        186 |          0 |         41 |        227 |
| build/net/test/CMakeFiles/Acceptor_test.dir                                                                   |          2 |         29 |          0 |          6 |         35 |
| build/net/test/CMakeFiles/EventLoop_test.dir                                                                  |          2 |         29 |          0 |          6 |         35 |
| build/net/test/CMakeFiles/Reactor02_test.dir                                                                  |          2 |         29 |          0 |          6 |         35 |
| build/net/test/CMakeFiles/Socket_test.dir                                                                     |          2 |         29 |          0 |          6 |         35 |
| build/net/test/CMakeFiles/TcpServer_test03_Buffer_send.dir                                                    |          2 |         29 |          0 |          6 |         35 |
| build/net/test/CMakeFiles/TcpServer_test04_pollout_shutdown.dir                                               |          2 |         29 |          0 |          6 |         35 |
| net                                                                                                           |         34 |      1,864 |        583 |        246 |      2,693 |
| net/test                                                                                                      |         10 |        343 |        173 |         43 |        559 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                      | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/cxf/Desktop/WebServer/README.md                                                                         | Markdown     |          1 |          8 |          0 |          9 |
| /home/cxf/Desktop/WebServer/base/AppendFile.cpp                                                               | C++          |         46 |         10 |          9 |         65 |
| /home/cxf/Desktop/WebServer/base/AppendFile.h                                                                 | C++          |         20 |          9 |          5 |         34 |
| /home/cxf/Desktop/WebServer/base/AsyncLog.cpp                                                                 | C++          |         74 |         16 |         10 |        100 |
| /home/cxf/Desktop/WebServer/base/AsyncLog.h                                                                   | C++          |         35 |         10 |          7 |         52 |
| /home/cxf/Desktop/WebServer/base/Base.h                                                                       | C++          |          8 |          8 |          1 |         17 |
| /home/cxf/Desktop/WebServer/base/BlockQueue.h                                                                 | C++          |         39 |          9 |          4 |         52 |
| /home/cxf/Desktop/WebServer/base/Condition.cpp                                                                | C++          |         27 |         10 |          6 |         43 |
| /home/cxf/Desktop/WebServer/base/Condition.h                                                                  | C++          |         18 |          8 |          5 |         31 |
| /home/cxf/Desktop/WebServer/base/ConditionLatch.cpp                                                           | C++          |         24 |          8 |          4 |         36 |
| /home/cxf/Desktop/WebServer/base/ConditionLatch.h                                                             | C++          |         15 |         10 |          0 |         25 |
| /home/cxf/Desktop/WebServer/base/FixedBuffer.h                                                                | C++          |         43 |         18 |         13 |         74 |
